image_id,split,subset,target_present,target_class,distractor_classes,background_source,foreground_asset_source,background_type,background_path,background_filename,object_size_px,distance_bin,gaussian_noise_sigma,blur_level,contrast_level,lighting,difficulty,target_bbox,target_asset_id,distractor_bboxes,distractor_asset_ids,pasted_object_summary,bbox,asset_id,seed,foreground_asset_path,foreground_asset_id,foreground_source_dataset,generation_seed,background_id,background_category,drone_present,drone_asset_id,drone_bbox_x,drone_bbox_y,drone_bbox_w,drone_bbox_h,drone_size_px,distractor_present,distractor_type,distractor_asset_id,distractor_bbox_x,distractor_bbox_y,distractor_bbox_w,distractor_bbox_h,distractor_size_px,noise_sigma,blur_type,blur_strength,image_path,label_path,placement_mode,placement_region_x_min,placement_region_x_max,placement_region_y_min,placement_region_y_max,drone_center_x,drone_center_y,distractor_center_x,distractor_center_y,drone_distractor_iou,placement_attempts,split_name
img_002865.png,full_curated_v1,synthetic_distractor_only,False,none,"[""bird""]",manual_curated,processed,sky_with_natural_landscape,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00000453.jpg,Places365_val_00000453.jpg,30,mid,20,mild,normal,day,hard,[],,"[[397, 198, 30, 21]]","[""bird_BirdsFlying_266_jpg.rf.5291053f9d184b99532a2e78efd260d3""]",distractor:bird:bird_BirdsFlying_266_jpg.rf.5291053f9d184b99532a2e78efd260d3,"[397, 198, 30, 21]",bird_BirdsFlying_266_jpg.rf.5291053f9d184b99532a2e78efd260d3,2906,,,,2906,Places365_val_00000453,sky_with_natural_landscape,False,,,,,,,True,bird,bird_BirdsFlying_266_jpg.rf.5291053f9d184b99532a2e78efd260d3,397.0,198.0,30.0,21.0,30.0,20,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_002865.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_002865.txt,upper_sky,0.05,0.95,0.03,0.55,,,412.0,208.5,,1,train
img_002270.png,full_curated_v1,synthetic_distractor_only,False,none,"[""airplane""]",manual_curated,processed,cloudy_sky,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00000408.jpg,Places365_val_00000408.jpg,100,near,10,mild,normal,day,medium,[],,"[[332, 10, 100, 26]]","[""airplane_TF_PLANE_1402""]",distractor:airplane:airplane_TF_PLANE_1402,"[332, 10, 100, 26]",airplane_TF_PLANE_1402,2311,,,,2311,Places365_val_00000408,cloudy_sky,False,,,,,,,True,airplane,airplane_TF_PLANE_1402,332.0,10.0,100.0,26.0,100.0,10,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_002270.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_002270.txt,upper_sky,0.05,0.95,0.03,0.55,,,382.0,23.0,,1,train
img_001232.png,full_curated_v1,synthetic_distractor_only,False,none,"[""airplane""]",manual_curated,processed,sky_with_natural_landscape,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00001355.jpg,Places365_val_00001355.jpg,15,far,10,mild,normal,day,hard,[],,"[[549, 278, 15, 4]]","[""airplane_TF_PLANE_3770""]",distractor:airplane:airplane_TF_PLANE_3770,"[549, 278, 15, 4]",airplane_TF_PLANE_3770,1273,,,,1273,Places365_val_00001355,sky_with_natural_landscape,False,,,,,,,True,airplane,airplane_TF_PLANE_3770,549.0,278.0,15.0,4.0,15.0,10,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_001232.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_001232.txt,upper_sky,0.05,0.95,0.03,0.55,,,556.5,280.0,,1,train
img_002105.png,full_curated_v1,synthetic_distractor_only,False,none,"[""airplane""]",manual_curated,processed,sky_with_built_environment,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00001367.jpg,Places365_val_00001367.jpg,30,mid,10,mild,normal,day,medium,[],,"[[487, 162, 30, 10]]","[""airplane_TF_PLANE_1833""]",distractor:airplane:airplane_TF_PLANE_1833,"[487, 162, 30, 10]",airplane_TF_PLANE_1833,2146,,,,2146,Places365_val_00001367,sky_with_built_environment,False,,,,,,,True,airplane,airplane_TF_PLANE_1833,487.0,162.0,30.0,10.0,30.0,10,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_002105.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_002105.txt,upper_sky,0.05,0.95,0.03,0.55,,,502.0,167.0,,1,train
img_000197.png,full_curated_v1,synthetic_distractor_only,False,none,"[""bird""]",manual_curated,processed,sky_with_natural_landscape,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00001052.jpg,Places365_val_00001052.jpg,8,very_far,10,mild,normal,day,hard,[],,"[[95, 63, 8, 4]]","[""bird_bbb-20-_png_jpg.rf.befdd05bf0112adcb5e3a58cb605d541""]",distractor:bird:bird_bbb-20-_png_jpg.rf.befdd05bf0112adcb5e3a58cb605d541,"[95, 63, 8, 4]",bird_bbb-20-_png_jpg.rf.befdd05bf0112adcb5e3a58cb605d541,238,,,,238,Places365_val_00001052,sky_with_natural_landscape,False,,,,,,,True,bird,bird_bbb-20-_png_jpg.rf.befdd05bf0112adcb5e3a58cb605d541,95.0,63.0,8.0,4.0,8.0,10,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_000197.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_000197.txt,upper_sky,0.05,0.95,0.03,0.55,,,99.0,65.0,,1,train
img_002773.png,full_curated_v1,synthetic_distractor_only,False,none,"[""bird""]",manual_curated,processed,cloudy_sky,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00000967.jpg,Places365_val_00000967.jpg,60,near,10,none,normal,day,easy,[],,"[[369, 9, 60, 36]]","[""bird_BirdsFlying_143_jpg.rf.b9206e4359ff3b0d014588e83a92b70c""]",distractor:bird:bird_BirdsFlying_143_jpg.rf.b9206e4359ff3b0d014588e83a92b70c,"[369, 9, 60, 36]",bird_BirdsFlying_143_jpg.rf.b9206e4359ff3b0d014588e83a92b70c,2814,,,,2814,Places365_val_00000967,cloudy_sky,False,,,,,,,True,bird,bird_BirdsFlying_143_jpg.rf.b9206e4359ff3b0d014588e83a92b70c,369.0,9.0,60.0,36.0,60.0,10,none,0,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_002773.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_002773.txt,upper_sky,0.05,0.95,0.03,0.55,,,399.0,27.0,,1,train
img_000416.png,full_curated_v1,synthetic_distractor_only,False,none,"[""bird""]",manual_curated,processed,sky_with_natural_landscape,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00000658.jpg,Places365_val_00000658.jpg,30,mid,0,mild,normal,day,medium,[],,"[[299, 243, 16, 30]]","[""bird_BirdsFlying_137_jpg.rf.7d0250183da3576aff3f01d135c2fc09""]",distractor:bird:bird_BirdsFlying_137_jpg.rf.7d0250183da3576aff3f01d135c2fc09,"[299, 243, 16, 30]",bird_BirdsFlying_137_jpg.rf.7d0250183da3576aff3f01d135c2fc09,457,,,,457,Places365_val_00000658,sky_with_natural_landscape,False,,,,,,,True,bird,bird_BirdsFlying_137_jpg.rf.7d0250183da3576aff3f01d135c2fc09,299.0,243.0,16.0,30.0,30.0,0,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_000416.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_000416.txt,upper_sky,0.05,0.95,0.03,0.55,,,307.0,258.0,,1,train
img_002283.png,full_curated_v1,synthetic_distractor_only,False,none,"[""airplane""]",manual_curated,processed,sky_with_built_environment,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00001460.jpg,Places365_val_00001460.jpg,100,near,20,mild,normal,day,medium,[],,"[[116, 145, 100, 32]]","[""airplane_TF_PLANE_1833""]",distractor:airplane:airplane_TF_PLANE_1833,"[116, 145, 100, 32]",airplane_TF_PLANE_1833,2324,,,,2324,Places365_val_00001460,sky_with_built_environment,False,,,,,,,True,airplane,airplane_TF_PLANE_1833,116.0,145.0,100.0,32.0,100.0,20,mild,3,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_002283.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_002283.txt,upper_sky,0.05,0.95,0.03,0.55,,,166.0,161.0,,1,train
img_001766.png,full_curated_v1,synthetic_distractor_only,False,none,"[""bird""]",manual_curated,processed,clear_upper_sky,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00000766.jpg,Places365_val_00000766.jpg,15,far,10,none,normal,day,medium,[],,"[[242, 337, 15, 9]]","[""bird_114_jpeg_jpg.rf.900bcc6bd7d4d99f240c8a1a332a7e79""]",distractor:bird:bird_114_jpeg_jpg.rf.900bcc6bd7d4d99f240c8a1a332a7e79,"[242, 337, 15, 9]",bird_114_jpeg_jpg.rf.900bcc6bd7d4d99f240c8a1a332a7e79,1807,,,,1807,Places365_val_00000766,clear_upper_sky,False,,,,,,,True,bird,bird_114_jpeg_jpg.rf.900bcc6bd7d4d99f240c8a1a332a7e79,242.0,337.0,15.0,9.0,15.0,10,none,0,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_001766.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_001766.txt,upper_sky,0.05,0.95,0.03,0.55,,,249.5,341.5,,1,train
img_000462.png,full_curated_v1,synthetic_distractor_only,False,none,"[""bird""]",manual_curated,processed,cloudy_sky,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\processed\backgrounds_sky_approved\images\Places365_val_00000675.jpg,Places365_val_00000675.jpg,15,far,0,none,normal,day,medium,[],,"[[221, 207, 15, 11]]","[""bird_63_jpeg_jpg.rf.ec06790b0154e420213c41b5ca4de705""]",distractor:bird:bird_63_jpeg_jpg.rf.ec06790b0154e420213c41b5ca4de705,"[221, 207, 15, 11]",bird_63_jpeg_jpg.rf.ec06790b0154e420213c41b5ca4de705,503,,,,503,Places365_val_00000675,cloudy_sky,False,,,,,,,True,bird,bird_63_jpeg_jpg.rf.ec06790b0154e420213c41b5ca4de705,221.0,207.0,15.0,11.0,15.0,0,none,0,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\images\img_000462.png,C:\Users\micha\Documents\studies\Masters\practical generative ai for images and audio\project\project_implementation\Synthetic Stress Testing for Skyborne Drone Identification\data\synthetic\full_curated_v1\labels\img_000462.txt,upper_sky,0.05,0.95,0.03,0.55,,,228.5,212.5,,1,train
