epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6338,2.5163,8.66515,1.34498,0.32157,0.22778,0.14714,0.0532,2.23973,6.63279,1.25469,0.000662447,0.000662447,0.000662447
2,84.3419,2.30883,4.3377,1.30854,0.00298,0.28056,0.00162,0.00059,nan,nan,nan,0.00128525,0.00128525,0.00128525
3,113.944,2.33799,3.22322,1.34226,0.36184,0.29722,0.22147,0.06908,2.25661,3.06669,1.43565,0.00186406,0.00186406,0.00186406
4,143.278,2.27076,2.56861,1.32556,0.38061,0.31111,0.24761,0.10068,2.10975,2.46089,1.35497,0.001802,0.001802,0.001802
5,172.955,2.26245,2.56696,1.29127,0.38259,0.30833,0.2492,0.1014,2.12838,2.30975,1.29091,0.001736,0.001736,0.001736
6,202.407,2.22278,2.28127,1.30298,0.52599,0.32366,0.32915,0.12145,2.17057,2.5967,1.36796,0.00167,0.00167,0.00167
7,232.048,2.15783,2.2169,1.28476,0.42888,0.41389,0.34604,0.14475,1.98967,2.05748,1.28314,0.001604,0.001604,0.001604
8,261.397,2.11201,2.1261,1.26454,0.48305,0.36389,0.3154,0.12705,2.04809,2.1507,1.28948,0.001538,0.001538,0.001538
9,290.618,2.08635,1.97207,1.2417,0.49685,0.37031,0.3774,0.16026,1.94398,2.01347,1.25585,0.001472,0.001472,0.001472
10,319.625,2.06541,2.03821,1.25402,0.5231,0.36562,0.35801,0.14624,2.0672,1.94755,1.32663,0.001406,0.001406,0.001406
11,349.431,2.06012,2.01447,1.24156,0.45067,0.39167,0.34652,0.14439,1.98102,1.92397,1.24649,0.00134,0.00134,0.00134
12,378.78,2.05702,1.93992,1.23009,0.53855,0.425,0.4174,0.17263,2.02035,1.77356,1.30123,0.001274,0.001274,0.001274
13,408.428,2.03194,1.90503,1.26078,0.49569,0.42866,0.39266,0.16301,1.97511,1.76025,1.27466,0.001208,0.001208,0.001208
14,438.074,2.02879,1.86256,1.22175,0.591,0.40942,0.42826,0.18401,1.89191,1.73793,1.24421,0.001142,0.001142,0.001142
15,467.846,2.0115,1.83713,1.21675,0.53585,0.39124,0.38719,0.16031,2.00441,1.81802,1.28363,0.001076,0.001076,0.001076
16,497.327,1.97432,1.81138,1.2012,0.56517,0.42222,0.42331,0.19741,1.89002,1.77959,1.22772,0.00101,0.00101,0.00101
17,527.011,1.93269,1.75731,1.17871,0.57469,0.43611,0.46797,0.19998,1.92482,1.66429,1.24713,0.000944,0.000944,0.000944
18,556.411,1.96434,1.75257,1.21051,0.63908,0.46389,0.48982,0.22954,1.83243,1.59253,1.19474,0.000878,0.000878,0.000878
19,586.041,1.93064,1.70462,1.18574,0.60471,0.45278,0.46867,0.21169,1.88982,1.61326,1.23387,0.000812,0.000812,0.000812
20,615.244,1.93693,1.67775,1.18042,0.63541,0.45278,0.47955,0.2157,1.87309,1.58997,1.23855,0.000746,0.000746,0.000746
21,644.375,1.90134,1.7278,1.22128,0.6012,0.44167,0.45578,0.20845,1.88372,1.55701,1.22525,0.00068,0.00068,0.00068
22,671.683,1.90211,1.65027,1.23162,0.62456,0.44823,0.48366,0.22819,1.84702,1.54385,1.22819,0.000614,0.000614,0.000614
23,699.147,1.85502,1.64727,1.22011,0.66534,0.48611,0.49652,0.22794,1.8094,1.57,1.23132,0.000548,0.000548,0.000548
24,726.77,1.82217,1.59449,1.19765,0.64651,0.46667,0.50308,0.2361,1.78519,1.52728,1.2042,0.000482,0.000482,0.000482
25,754.225,1.8529,1.63927,1.2065,0.61247,0.44167,0.48137,0.22979,1.81256,1.50957,1.19481,0.000416,0.000416,0.000416
26,781.51,1.80355,1.51911,1.18941,0.66139,0.47222,0.4931,0.22711,1.84018,1.52453,1.20167,0.00035,0.00035,0.00035
27,809.2,1.82862,1.54068,1.19615,0.69699,0.46667,0.51178,0.24265,1.83509,1.46287,1.20429,0.000284,0.000284,0.000284
28,836.5,1.8062,1.5653,1.18937,0.70929,0.48611,0.52606,0.24082,1.79449,1.48883,1.18187,0.000218,0.000218,0.000218
29,863.721,1.78337,1.5019,1.19581,0.67149,0.53611,0.54813,0.26427,1.76836,1.43764,1.173,0.000152,0.000152,0.000152
30,891.019,1.80514,1.50904,1.19259,0.65779,0.50278,0.53727,0.26214,1.73799,1.43258,1.1626,8.6e-05,8.6e-05,8.6e-05
